name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bukhara,2023-01-20,3.9,-10.1,-4.2,3.9,-13.2,-5.5,-8.6,73.7,0,0,0,,0,1.9,9.4,11.2,357.6,1031.3,61.1,4.2,101.3,8.8,4,10,2023-01-20T07:59:44,2023-01-20T17:47:07,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UTSB,UTSA"
bukhara,2023-01-21,0.3,-5,-2.3,0.3,-7.1,-3.5,-6.4,73.8,0,0,0,,0,1.1,13.3,9,356.1,1034,65.7,24.1,127,11,5,10,2023-01-21T07:59:11,2023-01-21T17:48:16,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bukhara,2023-01-22,1,-3.6,-1.5,1,-6.4,-2.9,-7.1,66.2,0,0,0,,0,0.5,9,8.3,332.8,1034.5,70,24.1,121.6,10.5,5,10,2023-01-22T07:58:35,2023-01-22T17:49:25,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bukhara,2023-01-23,1.2,-2.8,-1,1.2,-4.8,-1.7,-7.6,61.4,0,0,0,,0,0.3,6.8,6.1,193.6,1035.1,24.3,24.1,130.1,11.2,5,10,2023-01-23T07:57:58,2023-01-23T17:50:35,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bukhara,2023-01-24,1.1,-2.6,-0.9,-1,-4.8,-2.5,-9.1,54,0,0,0,,0,0.2,7.6,7.2,258.1,1034.5,36.9,24.1,123.2,10.6,5,10,2023-01-24T07:57:18,2023-01-24T17:51:46,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
bukhara,2023-01-25,2,-2.4,-0.5,0.2,-6.6,-3.7,-8.5,55.3,0,0,0,,0,0,31,18,3.1,1035.5,44.4,24.1,146.9,12.3,5,10,2023-01-25T07:56:37,2023-01-25T17:52:56,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
bukhara,2023-01-26,1.9,-2.6,-0.7,1.9,-6.7,-2.8,-7.3,61.9,0,0,0,,0,0,20.9,13.7,344.3,1036.3,1.8,24.1,135.1,11.7,5,10,2023-01-26T07:55:54,2023-01-26T17:54:07,0.14,Clear,Clear conditions throughout the day.,clear-day,
bukhara,2023-01-27,2.6,-2.1,-0.1,2.6,-6,-1.8,-7.1,60.2,0,0,0,,0,0,18.7,12.7,12.5,1033.9,0,24.1,136.3,11.7,5,10,2023-01-27T07:55:09,2023-01-27T17:55:19,0.19,Clear,Clear conditions throughout the day.,clear-day,
bukhara,2023-01-28,2.9,-0.9,0.5,1.2,-4,-1,-8.2,52.5,0,0,0,,0,0,12.1,9.8,185.7,1028.9,44.9,24.1,132.1,11.4,5,10,2023-01-28T07:54:22,2023-01-28T17:56:30,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bukhara,2023-01-29,4.1,-0.4,1.6,3,-1.2,0.6,-8.9,46.2,0,4.8,0,,0,0,8.6,8.6,101.7,1023.2,7.7,24.1,139.8,12,5,10,2023-01-29T07:53:33,2023-01-29T17:57:42,0.29,Clear,Clear conditions throughout the day.,clear-day,
bukhara,2023-01-30,8.2,0.8,4.2,5.7,-3.2,1.1,-7.1,44.3,0,4.8,0,,0,0,22.7,16.6,98.4,1021.2,36.1,24.1,141.4,12.3,5,10,2023-01-30T07:52:42,2023-01-30T17:58:53,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
bukhara,2023-01-31,11.3,4.1,7.2,11.3,0.5,4.8,-6,39.7,0.1,14.3,4.17,rain,0,0,34.2,16.6,131.9,1018.5,62,24.1,123.1,10.7,5,10,2023-01-31T07:51:50,2023-01-31T18:00:05,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bukhara,2023-02-01,11.9,5.3,8.2,11.9,2.2,6.4,-2.6,46.8,0.2,19,8.33,rain,0,0,34.9,15.5,135.7,1014.5,80.6,24.1,96.5,8.4,3,10,2023-02-01T07:50:56,2023-02-01T18:01:17,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bukhara,2023-02-02,16.6,5.9,10.8,16.6,2.8,9.4,1.5,54.7,0.2,19,4.17,rain,0,0,56.2,32.8,142.3,1012.1,73.1,24.1,110.8,9.3,5,10,2023-02-02T07:50:00,2023-02-02T18:02:29,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bukhara,2023-02-03,13.8,11.2,12.7,13.8,11.2,12.7,2.9,51.8,1.1,19,8.33,rain,0,0,63.4,29.2,155.8,1004.5,97.5,24.1,32,2.6,1,10,2023-02-03T07:49:03,2023-02-03T18:03:41,0.48,Overcast,Cloudy skies throughout the day.,cloudy,
